comment_id,comment
7853,আজ ফাহিম দেশে থাকলে হয়তো ডেংগু আক্রান্ত হয়ে বেড এ সুয়ে থাকতো 😫😫
7854,Eto gorbo koro keno ? Tomra ki kichu dite perecho Fahimke ?
7855,"এদেশ ভালো কিছু তৈরী করতে পারে না, পারে শুধু দূর্নীতি, ঘুষখোর, চোর, সন্ত্রাস অন্যায়কারি তৈরী করতে।।"
7856,এদেশে কিছু হবে না। অামিও চলে যাব।যেখানে মাথা উচু করে সম্মানের সাথে বাচা যায়
7857,আলহামদুলিল্লাহ বদাদেশ থেকে ফাহিম ও ফাহিমের বাবা  মুক্তি পেয়ে আজ তাদের স্বপ্ন পূরণ 😚☺
7858,এখানে তো বাংলাদেশের কোনো কথাই বলা হই নি
7859,ঠিক এই দেশে চেড়ে চলে যাওয়া অনেক ভাল
7860,"Fahim nam newa  cheley gulo over protivaban e hoy ,sey  j dik e hok"
7861,ভালোই লাগল আরো ভালো লগবে তখনই যখন মুভিটা দেখবো
7862,আমি তাদের চিনি আমরা প্যারিস ৬ এলাকায় তাদের পাশের বাড়ীতে থাকতাম।
7863,বাংলার দামাল ছেলেদের অনেক প্রতিভা রয়েছে... যার সঠিক মূল্যায়ন না করায় আজ সেগুলো অন্ধকারেই রয়ে গেছে!
7864,"ফাহিম আজ দেশের বাইরে যাওয়ার কারনেই সম্ভব হয়েছে,  সেলুট টু ফাহিম।"
7865,Jabo dekte   movie ta
7866,"দেশে থাকলে হয়তো ফাহিম ঐ রাসেল ভাইয়ের মতো পা হারাতো!!অভিনন্দন ফাহিম,অনেক আগেই তোমার কথা নিউজ মারফত জেনেছি, আজ বায়োপিক নির্মিত হয়েছে শোনে ভীষণ ভালো লাগলো।নিঃসন্দেহে অনেক ত্যাগ আর তিতীক্ষার ফলে এতোদূর আসা। দোয়া রইলো♥"
7867,"One of the actor from Bangladesh name Mr. Mizanur Rahman is acting the role of father of fahim. U could include the information here.
Thanks"
7868,👍👍👍👍👍
7869,Dear reporter not Francois fillon.  François Hollande.
7870,"ফাহিম, জানতাম বড় হবে ও মনে হয় কেন জন্মেছি  দেশে,যাক সুমালিয়ায় তো জন্মায়নি"
7871,Congratulations carrer comes first 💝
7872,"Feeling Proud  to be a Bangladeshi.  Yes, we can....."
7873,"দেখার অপেক্ষায় রইলাম 
France Paris"
7874,"বাংলাদেশের কোন শরনার্থী নাই😠😠😠😠😠😠 যা আছে বিভিন্ন সময়ে অপরাধী🤐,যারা দেশ পলাতক হিসাবে গণ্য হতে পারে। শরনার্থী না😠😠😠"
7875,ওরা বুঝতে পেরে গেছে সোনার বাংলাদেশে কিছুই হবে না তাই বাবা ছেলে পাড়ী দিয়েছে প্রান্স
7876,শুভকামনা ফাহিমের জন্য এ দেশে থাকলে হয়তো তার এতো সাফল্য অর্জন করতে পারতো না কারনে এদেশে ভালো প্রতিভার কোন মূল্য নেই।
7877,"বাংলার এমন বহু উদাহরণ রয়েছে যেখানে বাংলার মাটি বিদেশ গিয়ে হয়ে যায় সোনা, থাক দুঃখের কথা আর বলবোনা।"
7878,Wow .that's  a good news .
7879,বাংলাদেশে থাকলে যে কিছু হবেনা তা বুঝেই বাংলাদেশ  ত্যাগ করছে।
7880,বাংলাদেশ এর জন্য লজ্জা।
7881,"পৃথিবী র নিষ্কৃষ্ট দেশের মধ্যে একটা বাংলাদেশ,  গুম, খুন, ধর্ষন,  দূর্নীতি, ঘুষখোর"
7882,"এটা বাংলাদেশ,  এখানে ভাল আমলা না হতে পারলে জীবনের আর কোন দাম নাই। কারন এখানে অন্যন্য প্রতিভার মূল্যায়ন হয়না।"
7883,"ফাহিমের বাবা কাজটা ঠিক করেন নাই,এই মিক্সার আমেরিকা, সুইজারল্যান্ড, সিংগাপুর, প্যারিস রেখে শুধু ফ্রান্সে,যাওয়া কি ঠিক হলো😁"
7884,Very gd
7885,কথা ছিল ওর জায়গায় আমার অভিনয় করার কথা ।।কিন্তু একটা সমস্যা জন্য হলো না
