comment_id,comment
0,Amon drisso dekhe ghorvo hocce r kanna pacce
1,মাশাআল্লাহ
2,Banglar buke amon onek sompod ace ja sudhu manuser karone nosto hocce😥😥😥😥
3,"মানুষ চিড়িয়াখানায় পশু পাখি দেখতে যায় এখন পশু পাখি মানুষ কে দেখছে মানুষ আজ বন্ধী 🤧

প্রকৃতি ফিরে পাক তার আগের রুপ😌"
4,পর্যটক আটকাবে কে..?
5,Manusher jawa ekdom nishiddo kore den...😁😂😁😂
6,Hanggor o chole ashbe😱😱
7,ইঞ্জিন চালিত নৌযান বন্ধ করলে ডলফিন ফিরে আসবে। এতে পর্যটক সংখ্যা আরো বাড়ানো যাবে যা অর্থনৈতিক উন্নয়নে সহায়ক!
8,"পর্যটোক না কমায়ে  চেষ্টা করেন 
ময়লা আবর্জনায় Restriction লাগায়তে। ✌"
9,Check bangladesh first international music channel!!
10,❤সরকার পরিচালিত আমার ঘরে আমার স্কুল এর ক্লাস গুলো দেখতে আমার চ্যানেল সাবস্ক্রাইব করুন
11,ইঞ্জিনচালিত নৌকা বন্ধ করা এখন সময়ের দাবী এতে পরিবেশের ভারসাম্য নষ্ট হয়
12,https://youtu.be/NMCvksxeRfY
13,This beach should be permitted shut people through plastic bottles chips bags etc
14,মাশাআল্লাহ।
15,পাথরের আড়ালে গেন্দা ফুল নাকি?
16,Vai bosore 1mas coxbazar bondo kren. Drkben prokreti koto sondor
17,MasaAllah
18,আতংক থাকলেও অন্যদিকে পরিবেশের পরিবর্তন হচ্ছে।।।
19,"Ae gulo manage korar keo nei.
Top level management ki kore nijerao Jane na."
20,sea beach e moyla fellle jorimana r law kora hok
21,Porjotok kom gele hoyto valo hoto
22,"বাঙালিরা সেনাবাহিনি দেখার জন্য আকুল হয়ে পরছে,কিন্তুু বাহির এ গেলেই পিটুন,কি যে সমস্যা হলো। ডলফিন এর খবর পাইলে তো হুশ হাইরা যাইবো 🤣🤣😂😂"
23,ভালো লেগেছে...👍
24,sometimes.. world need rest..!❤️
25,কয়েকদিন পর শুনব লুল্লু ভুত এসে সবার ভাতের হারি শেষ করে দিচ্ছে।
26,R kichu din lockdown thakle dinosaur o dekha jabe
27,Aber aktho chinta koren amara manushra koto khoti kori poribeser.... akhono concious howa uchit
28,আমরা প্রকৃতির উপর কি নির্যাতন করছি সেটা এখন বুঝা যাচ্ছে।
29,Nice
30,Excellent 💕💕
31,but some animales die like panda
32,It's not true...its the factories...close them down or limit them
33,ভলিউম কম খবর শুনতে অসুবিধা হচ্ছে
34,এসব নিউজ প্রচার না করাই ভালো। নাহলে দেখাযাবে ডলফিন দেখতে beach এ হাজারো bitch এর ভিড় লেগে যাবে 🥴
35,Avishapto manush hote aj Tata mukto tai anando misil korse r Ki hehehehehe
36,Right
37,nice
38,আমরা কিভাবে প্রকৃতি নষ্ট করি তার জ্বলন্ত বিপরীত উদাহরণ!!!
39,Sath dene akdin beach close thaka uchit.
