comment_id,comment
11044,","
11045,পবিত্র কোরআনের বাণী O পঙ্গপাল আক্রমণ -  https://youtu.be/3xyUPqXq7-M
11046,"আল্লাহ আমাদের এই গজব থেকে রক্ষা করো । আমাদের দয়া করো।আমিন
#beyaddop👈👈"
11047,Allah er gojob allah akbar
11048,Hello
11049,ok
11050,নামাজ পরেন আল্লাহ-কে ডাকেন তাহলে ইনশাল্লাহ সমাধান হবে।গাছ কাটার বা বাদুর মেড়ে ফেলার কোনো আক্ষেপ নিয়েন না।।আটাও আল্লাহ তায়ালার গজব।।
11051,"কখন ও বাদুর
কখন ও পঙ্গপাল
আবার করোনাভাইরাস
এসব আর কিছুনা  আল্লাহর গজব
আল্লাহ হয়তো বিশ্ববাসি কে দেখিয়েছেন যে আমার এই সামন্য ধাক্কা থামাইতে পারতেছনা তাহলে তোমরা জাহান্নাম এর আগুন  কি করে সইবে।।।
আল্লাহ আমাদের সব মুসলমান দের আপনি হেফাজত করেন আমিন।
সবাই বলেন আমিন।।।"
11052,https://www.youtube.com/channel/UCzkSVJrlacPP3SZ3FiuKuqg?view_as=subscriber
11053,goodness
11054,Noooo
11055,TUHIN2
11056,ঊট মার বেশি করে।
11057,H
11058,Apu Really bolchen.....
11059,RG RIAD 13
11060,এখন মুসলমানরা বলবে এইটাও কুরানের বলা আছে😂😂😂😂😂😂😂
11061,এগূলি কিছু না আমাদের মুষলিম ভাইদের অভিশিপ আললাহ তালাহ গজব
11062,আমিন... আল্লাহ কে ভয় করো মানব জাতি....এখন ও সময় আছে
11063,এটাতো আল্লাহর একটি আজাব
11064,"সালারা নীরিহ হাজারো উটকে পানি পান করানোর ভয়ে মেরে ফেলে, আল্লাহর আযাব দেখ কেমন!!!"
11065,Akhon Voi pai kano. Chiner Lukera ashlei to chole. Sob kheya sabar kore diba .ha Allah Apni amader sokol k ai voya boho din theka Rokkha korun Mabud.amin
11066,আল্লাহ মহান
11067,Allah chaila kina paran allah ar kacha khoma Chan allahka soron korun bipod mukto hoban
11068,kAR video coppy korchen
11069,একমাত্র আল্লাহর কাছে আশ্রয় প্রার্থনা করতে হবে।
11070,"করুনা ভাইরাস কেনো আক্রমণ করলো 
করুনা ভাইরাস থেকে রক্ষার উপায় কি 
যানতে হলে শুনুন বাংলাদেশের শ্রেষ্ঠ 
পাঁচ আলেমের মুখে https://youtu.be/ArsBZM80R0U"
11071,Atik hasan
11072,দেখ আর না আছে কিনা দেখ দেখ আল্লাহ তোদের বিচার করবে ইহুদির দল তোদের বিচার আল্লাহ করবে করবে করবে
11073,কিছু  দিন  আগে অস্ট্রলিয়া ১০ হাজার  উট মেরে ফেলেছে  এখন বাদুড়ের গজব  দিচ্ছে  আল্লাহ
11074,*ACT* *to* *Save* *Yourself*  https://youtu.be/yIVfBJfkyGs
11075,আললাহ কি চোদাঈতে গেছে
11076,They Need BaTman
11077,"আমি মুসলিম,বিশ্বের মুসলিমরা  অ মুসলিমদের হাতে গন হত্যার স্বীকার হলে আমি প্রতিবাদ করিব,নিন্দা জানাইব,ঘৃনা করিব,এই টাই স্বাভাবিক।কিন্তু সৌদি যখন নিয়মিত বোমা হামলা করে ইয়েমেনের মুসলমান দের হত্যা করে,ইরান যখন সিরিয়ায় বাসার আল আসাদের পক্ষ হইয়া সাধারন মুসলমান দের হত্যা করে,তুরুস্ক যখন সিরিয়ার ইদলিবে,ইরাকের কুর্দিস্তানের মুসলমানদের হত্যা করে,ইরাক যখন ইরাকের  কুর্দি স্তানের মুসলমানদের হত্যা করে,পাকিস্তান যখন ১৯৭১ সালে আমাদের বাংলাদেশের  ৩০লক্ষ  বাঙ্গালী মুসলমানদের হত্যা করেন,তালেবান,আইএসআই, জিএমবি যখন নিরহি মুসলমান দের হত্যা করেন।তখন আমরা কেন বিশ্বের বিশেষ করে বাংলাদেশের আলেম সমাজ/ইসলামীক দলের দাবিদার জাময়াত শিবির,হেফাজত,চরমোনাই,রক্তগরম মুসলমানরা  কেন কোন প্রতিবাদকরেনা। হে এক চোখা ইসলামিক দল/আলেম সমাজ বিশ্বের সকল মানব হত্যাই খারাপ,এক মুসলিম ভাইয়ের রক্ত আরেক মুসলমানের জন্য হারাম,এই নিতিতে বিশ্বের সকল মুসলমান কে ঐক্য বদ্ধ্য হওয়া খুব জরুরী দরকার।???"
