comment_id,comment
0,Lift ki on e thake🤣🤣🤣🤣
1,Love u bai
2,যৌবন
3,Kayla no1
4,beutiful
5,Khat e Pani nai..ata just osm
6,Haste haste pet batha hoiya gelo
7,Bhai Ami Assamese apna video Virat Bhalo Lage apna number Devon
8,Hahaha video ti balo kintu Afridi tumar sathe deka korte chay kintu pari na ...Allah Jodi chay tahole ak din na ak din deka hobe.....😒
9,Afridi vaiya tomar video gula onek funnnnnnnny.
10,nic
11,🤣
12,আফ্রদির বালের অভিনয় পুরা বুঝা যায়।
13,mango
14,"যেকোনো ভিডিও বানাতে যেমন:

নাটক, শর্টফিল্ম,
টেলিফিল্ম, কৌতুক, গান এর ভিডিও
বানাতে 

আজই যোগাযোগ করুন

মোবাইল: 01725380518 অথবা 01642234706

এছাড়াও যেকোনো অনুষ্ঠান ভিডিও করা হয়"
15,🤣🤣🤣🤣🤣
16,Afridi vaike k k vlobasen..like den
17,nice
18,"আমি বাড্ডা রেসিডেন্সিয়াল হাই স্কুল এর সহকারী প্রধান শিক্ষক  বলছি,,, আমার স্কুলের বাচ্চারা আপনাকে অনেক দেখতে চায়,,  যদি আপনার মূল্যবান সময় থেকে একটু সময় আপনার হয় তা হলে অবশ্যই আমাদের স্কুলে আসবেন। আসলে বাচ্চারা অনেক খুশি হবে....০১৩০৩৭৪১০৪২"
19,Apu ta onek nc
20,love you
21,"খেতে তো পানি নাই, হাহাহাহা সো ফানি"
22,Bhai.sei.joss
23,Amader bhabi 😁
24,😂😂😂😂
25,তৌহিদ আফ্রিদি ভাই। জানি আমার কমেন্ট পড়ার আপনার সময় নাই।  তারপরেও এক বুক আশা নিয়ে আপানের লিখলাম।  আপনার সাথে আমার দেখা করার অনেক ইচ্ছা
26,eu murgi ki age bage kotha koi
27,Joss
28,Nice.
29,Nice Vai ❤❤❤
30,I love you
31,আফ্রিদি বাই কেমন আছেন
32,https://youtu.be/vP9F1YdZIVM
33,So funny 🤣🤣🤣🤣🤣😃😃😃😃😃😃😃😄😆😆😆😆😆😆😆😆😆💙💙💚💚💜💛
34,TA is a looser
35,Khubi funny
36,😘😘😘😘😘😘😘😘
37,Joss😂
38,ছেছরা বাই' জদি বালো লাগে তাহলে লাক করন
39,You are a great 👍👍👏👏
40,Excuseme baiya ami apnr akjon onk bro pan so ami caii apni akta video babnan sai video or nam hlo corona viras akn ai video ta banalea public ai ta bashi krea daktea parea idea ta dilam apnky And ilove u bro
41,Ha ha
42,Bro aga ami boltam apnar video faul view video Dakar por buslam apnar video anok valo and funny ami apnaka like supcrice korbo
43,😄😄😄😄😃😃😃😃😃♥♥♥♥
44,Nice
45,কারা কারা পাচ ওয়াক্ত নামাজ পড়েন like দিন 🕋🕋🕋🕋🕋🕋🕋🕋🕌🕌🕌🕌🕌🕌🕌🕌🕌🕌🕌
46,Ami pura porta pari na
47,Khubi kom
48,😁😁😁😁😁
49,1:35 was so funny...😂😂
50,owo
51,Brother  you are great 😂😂😂😂😂😂😂👍👍👍👍👍
52,2020 a aseo kew dekhso ai video???
53,Love uh bro
54,Kmn aco bai
55,I love tawhid afridi
56,😂😂😂😂😂😂😂😁😁😁😁😁
57,Idiot
58,3:05 - 3:57 OVER-ACTING এর দোকান।
59,1:40 - 2:23 😄😄😄😄🤣🤣🤣😂😂😂😂
60,0:00 - 0:45 OVER- ACTING এর দোকান।
61,ভাই আমি আপনার সব গুলো ভিডিও দিখি
62,অসাধারণ লাখছে ভাই আপনার ডাইলক গুলো
63,Shei vai
64,"hahahjjajajj
Hahhajjjjaj"
65,Oh my God tohid afridi 💏💏💏
66,( 5:6 )
67,(6:6)
68,Intertainment r jonno amr channel subscribe korun
69,Good video
70,🤥🤥🤥🤥
71,থাইল্যান্ড যাবে না ব্যাংকক যাবে।
72,😀😀😀😀😀
73,Funny😂😂🤣🤣
74,আফ্রিদির অভিনয়ে কেনো হাসি হাসে না পুরাই পালতু অভিনয়
75,Nice bro
76,😂😂😂😂bapre bap more jabo haste haste.#cookingplush
77,Samim HASAN sarkar k copy korco
78,onek nice akta vedio really
79,w
80,Afridi is the best you are a so joss
81,Nice bra
82,I love this😇😇
83,Sheiii
84,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅
85,Best part is Kheteto pani nai
86,Wow
87,Gay since ta nice😅😅🤣🤣😂😂😂
88,Darun Boro bhi
89,😂😂😂🤣🤣🤣😂
90,হা কানে হেডফোন ছিল
91,😂😂😂😂😂😂😂
92,Nice
93,তৌহিদ আফরিদি একটা লুচ্চা
94,My boss brother
95,__Haha😁😁😁😁
96,ভাই আপনি কি শামিম ভাইয়া কে নকল করছেন নাকি এক ভিডিও নাকি
