comment_id,comment
0,*Please SUBSCRIBE and turn on the BELL! The next Roast is coming soon.*
1,👍
2,Boss Go ahead..... Love you
3,Okkkk
4,নাপিতের কাজ নয় বড়শি দিয়ে মাছ ধরা
5,Field from bed
6,Nice
7,Dexter Morgan came to Bangladesh??? And they freaked him out???😒😒
8,Dexter Morgan came to Bangladesh??? And they freaked him out???😒😒
9,😁😁😁😁
10,"o vaii.. Maaroo mujhe maaroo......
🤣🤣🤣🤣🤣"
11,vai bangladesh e intelligence er dam dite jane na...
12,"ভাই এই লুক টা তো আপনাকে ভালোই মানায়
হালকা দাড়ি, ফেডেড চুল
it suits you much"
13,😁😁😁😁😁😁😁😁
14,😁😁😁😁😁😁😁
15,😁😁😁😁😁😁😁😁
16,😁😁😁😁😁
17,😁😂😁😂😁😂😁😁😁😁😁😁
18,Funniest roast ever 😂😂😂😂
19,ভাই একটা অামার👌👌
20,ভাই হাসবো না কাদবো ভাবতাসি।। এই qna টে সোফিয়া যতবার হেং হইসে আমার পুরান মোবাইল ৪৫০০ টাকা ফোনো ততবার হেং হয়নি।😂😂😂😂😂
21,বাংলাদেশ ই প্রথম  যারা রোবট কে হ্যাং করে দিছে
22,আল বাল লোককে দিলে এটা ই হবে ভাই
23,বাংলাদেশে ইংরেজি জানা মানুষের অনেক অভাব
24,সোপিয়া শেষ 😄😄😄😁😁😁😁😁😭😭
25,"ভালা লাগলো দারুণ,,,,"
26,How you like aaaaa.........(2)🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂
27,Amar driver better host
28,Bangladesh has many negative persons
29,agulo dekhe nijer sorom kore bhaia ja ami bangladeshi
30,Sei Roasting
31,sofia re doraemon vabse khabar khbe lol
32,Joss vai
33,Bangladeshis need to go to a school of hosting................they lack training in this field.
34,Hoster the roster
35,"ভাইয়া ইংরেজি মোটামুটি practice করতেছি তুমি যা দেখাইলা 
ভালো ভাবে practice করতে হবে 
Cause
 IT and English 
ছাড়া ওয়ার্ল্ড এ বেচে থাকা খুব কষ্টকর।"
36,Hmm tahsen Vhai Bpl Roast Sai.!
37,Sophi is actually a Google disguised as a robot.
38,Perfect said brother 😘🥰 germants a job nen desh takhe unnoto koren well said oder jonno otai perfect!!
39,Or English shune sofia hang hoye gese🤣🤣🤣😆 wow wht an English man😐smh
40,👍👍👍👍👍
41,Dui ta robot ek shathe dekhlam.ekta programing Kora arekta marijuana khor.
42,Hahahah
43,😎😎😎
44,😍😍😍
45,Hair on what???😀😀
46,hahahaha system porai hang sala sophiya cpu e te vhabtase koitaseda ki🤣🤣🤣
47,Vy tui asole e lznd.....
48,System hang kore diche😅😅😅😅
49,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😄😄😄😄😄😄😄🤣😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😉🤣🤣🤣🤣🤣🤣🤣🤣😄😄
50,"যে ইংরেজি ঠিক মতো বলতেই পারে না, তাকে দিছে হোষ্টিং করতে। মানে গাজা যে কি পরিমাণ খাইছে।"
51,bangladesher sathe lagte jaiyo na...moira jaba....lol.hahaha...moja laglo.
52,bangladesh aplus ar degree te chole actual kono dokkhota dekhe na
53,System hang kore dise😂😂😂😂
54,😃😃😃😃
55,Right
56,Please roasted peya jannatul in single VIDEO
57,Nice roasted hosa tahseenation bro 😂😂😂
58,আমাকে মাইরালা .... Do robot eat something?
59,System তো পুরাই hang করে দিসে? Great hoster আমাদের.......
60,Good video
61,কে কে বিপিএল এর রোস্ট দেখার পর এই রোস্ট টা দেখছেন।লাইক দিন
62,Ami
63,Yeah 🙋
64,Ami✋
65,Ami
66,"Vai..first a roasting r hosting niye ja bollen,purai taski kheye gelam.🙄🙄🙄"
67,Again another superhit roasting 👍👍👍👍👍👍👍
68,Very nice to meeting u
69,Nice to meeting you...
70,Hashte hashte ami sesh... Ei holo amdr obostha...
71,ভাই  সুফিয়া কে পলিও টিকা দিতে হবে। 😍😍😍😍😍😍😍😍😍🤠🤠🤠🤠🤠🤠🤠🤠
72,"সব সময়ই আপনি অনেক শেরা।
ধন্যবাদ আপনাকে"
73,Bruh. 🙃 I can speak better than her lol.
74,host রে বলতেছি - Do you want to eat মদ?????
75,কামলাও  এর চেয়ে অনেক ভাল english বলতে পারে
76,"Seriously!! 😵😵😵😵
Amrto mone hoiteselo j kokhn jani Sofia ei host gula mair shuru koira dei..😴😴"
77,তাচিন বাই এরা হছে বাংলা দেশ ওনয়ন
78,Nice to meeting you
